user_id,date,screen_time,steps,sleep,streak,top_emotions,mood
user7@gmail.com,2025-01-13,2.74,8901,8.99,0,"{'Joy': 90, 'Sadness': 37, 'Fear': 12, 'Anger': 52, 'Disgust': 57, 'Neutral': 3}",Joy
user320@gmail.com,2025-07-18,9.62,1936,4.53,6,"{'Joy': 56, 'Sadness': 39, 'Fear': 60, 'Anger': 82, 'Disgust': 44, 'Neutral': 10}",Anger
user88@gmail.com,2025-05-31,1.13,8302,8.14,1,"{'Joy': 88, 'Sadness': 58, 'Fear': 57, 'Anger': 12, 'Disgust': 13, 'Neutral': 5}",Joy
user418@gmail.com,2025-06-30,9.26,4374,4.42,4,"{'Joy': 28, 'Sadness': 20, 'Fear': 36, 'Anger': 19, 'Disgust': 83, 'Neutral': 35}",Disgust
user29@gmail.com,2025-12-14,1.48,9233,7.04,2,"{'Joy': 79, 'Sadness': 30, 'Fear': 24, 'Anger': 15, 'Disgust': 5, 'Neutral': 27}",Joy
user412@gmail.com,2025-10-28,10.32,1164,5.83,6,"{'Joy': 59, 'Sadness': 0, 'Fear': 52, 'Anger': 28, 'Disgust': 83, 'Neutral': 24}",Disgust
user246@gmail.com,2025-08-25,7.79,4174,3.64,7,"{'Joy': 54, 'Sadness': 10, 'Fear': 98, 'Anger': 60, 'Disgust': 43, 'Neutral': 38}",Fear
user269@gmail.com,2025-09-27,9.63,4039,5.04,4,"{'Joy': 21, 'Sadness': 41, 'Fear': 35, 'Anger': 35, 'Disgust': 88, 'Neutral': 9}",Disgust
user327@gmail.com,2025-09-12,9.62,3462,3.15,7,"{'Joy': 48, 'Sadness': 84, 'Fear': 46, 'Anger': 9, 'Disgust': 28, 'Neutral': 20}",Sadness
user276@gmail.com,2025-03-17,10.8,2611,3.78,7,"{'Joy': 36, 'Sadness': 43, 'Fear': 91, 'Anger': 22, 'Disgust': 30, 'Neutral': 11}",Fear
user329@gmail.com,2025-05-17,6.05,2870,3.25,5,"{'Joy': 41, 'Sadness': 74, 'Fear': 25, 'Anger': 60, 'Disgust': 43, 'Neutral': 49}",Sadness
user487@gmail.com,2025-05-14,2.05,9168,7.73,2,"{'Joy': 83, 'Sadness': 0, 'Fear': 60, 'Anger': 14, 'Disgust': 23, 'Neutral': 42}",Joy
user77@gmail.com,2025-02-15,1.95,8244,7.56,0,"{'Joy': 70, 'Sadness': 35, 'Fear': 50, 'Anger': 26, 'Disgust': 22, 'Neutral': 2}",Joy
user94@gmail.com,2025-03-27,2.59,8504,7.21,0,"{'Joy': 75, 'Sadness': 49, 'Fear': 45, 'Anger': 9, 'Disgust': 23, 'Neutral': 29}",Joy
user381@gmail.com,2025-06-22,10.82,3949,4.8,5,"{'Joy': 9, 'Sadness': 46, 'Fear': 77, 'Anger': 54, 'Disgust': 0, 'Neutral': 37}",Fear
user42@gmail.com,2025-01-28,9.25,2941,5.84,6,"{'Joy': 13, 'Sadness': 8, 'Fear': 30, 'Anger': 9, 'Disgust': 89, 'Neutral': 38}",Disgust
user351@gmail.com,2025-01-25,2.72,9589,8.54,1,"{'Joy': 91, 'Sadness': 25, 'Fear': 45, 'Anger': 55, 'Disgust': 6, 'Neutral': 32}",Joy
user110@gmail.com,2025-06-22,10.14,1029,3.58,5,"{'Joy': 21, 'Sadness': 41, 'Fear': 48, 'Anger': 70, 'Disgust': 28, 'Neutral': 46}",Anger
user410@gmail.com,2025-12-26,7.32,1821,3.87,6,"{'Joy': 11, 'Sadness': 99, 'Fear': 10, 'Anger': 24, 'Disgust': 36, 'Neutral': 46}",Sadness
user68@gmail.com,2025-07-10,2.85,9812,7.63,1,"{'Joy': 96, 'Sadness': 36, 'Fear': 25, 'Anger': 44, 'Disgust': 10, 'Neutral': 7}",Joy
